net,length_um
_1168_,648.25
_1158_,643
_3922_,625.6
_1842_,607.215
_2978_,603.5
_4030_,598.5
_4113_,595
clknet_0_CLK,591.92
_3667_,587.25
_3958_,585.66
_3160_,582.16
_3460_,579.78
_3994_,575.645
_3849_,574.49
_3689_,569.54
_3449_,565.665
_3594_,555.78
_3630_,554.7
_3101_,554.69
_3558_,550.51
_1604_,549.42
_3886_,543.165
_4102_,540.3
_3059_,536.04
_3705_,535.89
_3777_,531.205
_1586_,529.18
_3716_,527.71
_1618_,526.345
_1159_,526.23
_3813_,524.71
_1634_,520.17
_3580_,518.49
_1075_,511.41
_4222_,510.925
_1845_,508.265
_1062_,507.22
_3871_,505.995
_1126_,505.9
_3616_,499.84
_3908_,499.7
_4041_,497.31
_1635_,497.3
_3040_,496.35
_1611_,494.99
_4052_,494.05
_3471_,493.75
_1029_,492.74
_3232_,492.33
_4066_,491.11
_4138_,490.01
_3763_,489.885
_3727_,487.21
_3171_,485.83
_1643_,485.12
_3182_,484.88
_3569_,483.29
_1027_,483.08
_1636_,482.845
_3270_,481.81
_1041_,481.38
_3355_,479.96
_3980_,478.96
_1106_,478.57
_3652_,478.26
_1186_,477.57
_4174_,476.98
_1077_,475.81
_1863_,472.86
_3605_,472.39
_4088_,472.33
_1034_,470.43
_3860_,468.15
_3944_,467.54
_4016_,464.46
_3641_,464.32
_1121_,464.06
_3799_,463.28
_1049_,462.74
_1173_,462.125
_4124_,461.61
_1039_,460.64
_1605_,459.23
_3532_,458.74
_3410_,454.335
_1033_,453.705
_3196_,451.58
_4211_,450.795
_3897_,450.24
_1865_,450.23
_4160_,450.03
_3933_,449.48
_1675_,448.39
_1059_,447.21
_1603_,444.23
_1188_,444.2
_3835_,441.97
_3788_,440.08
_3824_,439.78
_1854_,438.5
_3218_,438.26
_3318_,435.9
_4005_,435.29
clknet_3_5__leaf_CLK,432.88
_1042_,430.49
_3507_,430.25
_3243_,429.94
_3080_,429.49
_4077_,427.36
_3281_,426.9
_1587_,423.91
_1997_,421.66
_3678_,421.02
_3019_,420.74
_3292_,419.56
clknet_3_0__leaf_CLK,418.82
clknet_3_6__leaf_CLK,417.48
_1133_,416.02
_2030_,414.96
_1061_,414.15
_4196_,411.57
_3254_,404.91
_1110_,404.66
_3969_,401.66
_1118_,401.25
_1860_,400.22
_2998_,399.68
_1069_,398.57
_1858_,398.13
_1681_,396.61
clknet_3_3__leaf_CLK,396.5
_1141_,393.84
_1614_,390.71
_2157_,389.25
_1884_,388.99
_1116_,388.8
_1642_,387.53
_4149_,386.95
_3329_,384.395
_3207_,383.085
_1964_,380.42
clknet_3_1__leaf_CLK,380.02
net82,379.61
clknet_3_4__leaf_CLK,379.4
