net,length_um
net18,121.78
net17,93.76
_006_,75.965
_013_,66.37
net12,48
clknet_1_0__leaf_clk,45.84
_007_,45.78
_030_,37.64
net9,37.5
net10,35.48
_045_,31.25
_033_,27.71
clknet_0_clk,26.68
net11,26.12
clk,24.79
clknet_1_1__leaf_clk,24.54
_022_,24.24
net13,23.86
_065_,22.52
net6,21.94
_052_,21.22
net5,19.8
net2,19.36
net4,18.34
net24,18.16
net7,17.86
net3,17.62
_071_,16.82
_025_,16.46
net14,14.98
net1,14.24
_042_,14.22
result[6],13.98
_044_,13.94
_035_,13.72
a[0],13.62
_024_,13.5
net16,13.36
_053_,13.34
_002_,13.26
net15,13.14
_070_,12.68
_043_,12.49
result[7],12.48
_016_,12.3
result[0],11.68
_038_,11.54
_059_,11.24
b[3],11.02
_061_,10.94
net8,10.72
_032_,10.7
_051_,10.7
_050_,10.46
_049_,10.34
_014_,10.2
_073_,10.14
_011_,9.94
_055_,9.9
_010_,9.86
_031_,9.72
b[6],9.53
_060_,9.5
net25,9.48
b[5],9.39
result[4],8.96
a[3],8.72
a[4],8.72
_041_,8.6
net19,8.58
_056_,8.54
_017_,8.44
_058_,8.24
_008_,7.98
_069_,7.68
net21,7.52
_078_,7.345
_063_,7.3
b[0],7.15
_009_,6.72
b[2],6.65
result[2],6.21
_046_,6.14
b[4],6.09
_040_,6.06
_076_,5.985
b[7],5.97
result[1],5.75
a[2],5.63
a[1],5.29
a[6],5.29
_026_,5.16
_075_,5.085
sel[0],5.07
a[7],4.95
sel[1],4.95
_037_,4.92
_000_,4.78
result[3],4.73
a[5],4.61
b[1],4.61
_005_,4.48
_020_,4.48
result[5],4.39
_001_,4
_015_,3.9
net23,3.88
_029_,3.76
_028_,3.42
_012_,3.1
_027_,3.08
_067_,3.08
net20,3.08
_072_,2.885
_077_,2.885
_003_,2.64
_062_,2.62
_074_,2.605
net22,2.52
_066_,2.3
_036_,2.18
_018_,2.16
_023_,2.16
_047_,2.16
_004_,2.06
_064_,2.04
_068_,2.04
net26,1.82
_048_,1.72
_054_,1.72
_057_,1.72
_079_,1.685
_034_,1.38
_019_,1.14
_039_,1.14
_021_,0.46
